ikpt,labels,b0.up,b1.up,b2.up,b3.up,b4.up,b5.up,b6.up,b7.up,b8.up,b9.up,b10.up,b11.up,b12.up,b13.up,b14.up,b15.up,b16.up,b17.up,b18.up,b19.up,b20.up,b21.up,b22.up,b23.up,b0.dn,b1.dn,b2.dn,b3.dn,b4.dn,b5.dn,b6.dn,b7.dn,b8.dn,b9.dn,b10.dn,b11.dn,b12.dn,b13.dn,b14.dn,b15.dn,b16.dn,b17.dn,b18.dn,b19.dn,b20.dn,b21.dn,b22.dn,b23.dn
0,L,-7.652e+00,-4.174e+00,-3.157e+00,-3.157e+00,-2.339e+00,-2.339e+00,-2.001e+00,1.605e+00,1.605e+00,4.815e+00,4.945e+00,4.945e+00,8.160e+00,1.144e+01,1.144e+01,1.231e+01,1.231e+01,1.290e+01,1.366e+01,1.824e+01,2.022e+01,2.022e+01,2.157e+01,2.157e+01,-7.689e+00,-3.984e+00,-1.401e+00,-1.401e+00,6.815e-01,6.815e-01,7.355e-01,2.657e+00,2.657e+00,5.331e+00,5.654e+00,5.654e+00,8.474e+00,1.155e+01,1.155e+01,1.275e+01,1.275e+01,1.315e+01,1.382e+01,1.857e+01,2.054e+01,2.054e+01,2.175e+01,2.175e+01
1,,-7.720e+00,-4.117e+00,-3.153e+00,-3.153e+00,-2.353e+00,-2.353e+00,-1.911e+00,1.637e+00,1.637e+00,4.806e+00,4.971e+00,4.971e+00,8.128e+00,1.080e+01,1.080e+01,1.248e+01,1.302e+01,1.302e+01,1.410e+01,1.802e+01,1.937e+01,1.937e+01,2.176e+01,2.243e+01,-7.754e+00,-3.884e+00,-1.395e+00,-1.395e+00,6.572e-01,6.572e-01,7.828e-01,2.704e+00,2.704e+00,5.319e+00,5.666e+00,5.666e+00,8.423e+00,1.104e+01,1.104e+01,1.276e+01,1.334e+01,1.334e+01,1.425e+01,1.837e+01,1.969e+01,1.969e+01,2.251e+01,2.260e+01
2,,-7.899e+00,-3.975e+00,-3.140e+00,-3.140e+00,-2.388e+00,-2.388e+00,-1.639e+00,1.728e+00,1.728e+00,4.780e+00,5.042e+00,5.042e+00,8.028e+00,9.960e+00,9.960e+00,1.186e+01,1.407e+01,1.407e+01,1.471e+01,1.755e+01,1.815e+01,1.815e+01,2.119e+01,2.349e+01,-7.927e+00,-3.612e+00,-1.378e+00,-1.378e+00,5.984e-01,5.984e-01,9.245e-01,2.831e+00,2.831e+00,5.281e+00,5.694e+00,5.694e+00,8.268e+00,1.029e+01,1.029e+01,1.221e+01,1.430e+01,1.430e+01,1.484e+01,1.798e+01,1.853e+01,1.853e+01,2.186e+01,2.362e+01
3,,-8.140e+00,-3.802e+00,-3.126e+00,-3.126e+00,-2.432e+00,-2.432e+00,-1.191e+00,1.871e+00,1.871e+00,4.735e+00,5.131e+00,5.131e+00,7.848e+00,9.236e+00,9.236e+00,1.128e+01,1.498e+01,1.498e+01,1.502e+01,1.719e+01,1.719e+01,1.727e+01,2.034e+01,2.399e+01,-8.159e+00,-3.226e+00,-1.357e+00,-1.357e+00,5.349e-01,5.349e-01,1.160e+00,3.004e+00,3.004e+00,5.219e+00,5.721e+00,5.721e+00,8.008e+00,9.632e+00,9.632e+00,1.173e+01,1.511e+01,1.511e+01,1.518e+01,1.766e+01,1.766e+01,1.779e+01,2.087e+01,2.412e+01
4,,-8.394e+00,-3.632e+00,-3.117e+00,-3.117e+00,-2.472e+00,-2.472e+00,-5.852e-01,2.057e+00,2.057e+00,4.675e+00,5.184e+00,5.184e+00,7.558e+00,8.709e+00,8.709e+00,1.079e+01,1.478e+01,1.488e+01,1.488e+01,1.737e+01,1.737e+01,1.744e+01,1.965e+01,2.409e+01,-8.404e+00,-2.787e+00,-1.340e+00,-1.340e+00,4.941e-01,4.941e-01,1.489e+00,3.189e+00,3.189e+00,5.136e+00,5.708e+00,5.708e+00,7.641e+00,9.173e+00,9.173e+00,1.134e+01,1.506e+01,1.506e+01,1.507e+01,1.780e+01,1.780e+01,1.799e+01,1.997e+01,2.424e+01
5,,-8.632e+00,-3.483e+00,-3.122e+00,-3.122e+00,-2.494e+00,-2.494e+00,1.434e-01,2.277e+00,2.277e+00,4.603e+00,5.124e+00,5.124e+00,7.122e+00,8.462e+00,8.462e+00,1.045e+01,1.395e+01,1.395e+01,1.422e+01,1.745e+01,1.851e+01,1.851e+01,1.963e+01,2.408e+01,-8.631e+00,-2.347e+00,-1.332e+00,-1.332e+00,4.904e-01,4.904e-01,1.907e+00,3.362e+00,3.362e+00,5.037e+00,5.610e+00,5.610e+00,7.172e+00,8.979e+00,8.979e+00,1.106e+01,1.424e+01,1.424e+01,1.468e+01,1.797e+01,1.884e+01,1.884e+01,1.980e+01,2.425e+01
6,,-8.831e+00,-3.359e+00,-3.139e+00,-3.139e+00,-2.496e+00,-2.496e+00,9.586e-01,2.525e+00,2.525e+00,4.525e+00,4.913e+00,4.913e+00,6.528e+00,8.539e+00,8.539e+00,1.027e+01,1.293e+01,1.293e+01,1.362e+01,1.709e+01,1.986e+01,1.986e+01,2.034e+01,2.406e+01,-8.823e+00,-1.949e+00,-1.334e+00,-1.334e+00,5.219e-01,5.219e-01,2.402e+00,3.512e+00,3.512e+00,4.934e+00,5.421e+00,5.421e+00,6.619e+00,9.076e+00,9.076e+00,1.090e+01,1.327e+01,1.327e+01,1.424e+01,1.744e+01,2.013e+01,2.013e+01,2.051e+01,2.425e+01
7,,-8.980e+00,-3.265e+00,-3.161e+00,-3.161e+00,-2.486e+00,-2.486e+00,1.821e+00,2.791e+00,2.791e+00,4.443e+00,4.600e+00,4.600e+00,5.815e+00,8.897e+00,8.897e+00,1.024e+01,1.194e+01,1.194e+01,1.309e+01,1.671e+01,2.124e+01,2.124e+01,2.132e+01,2.407e+01,-8.966e+00,-1.632e+00,-1.343e+00,-1.343e+00,5.724e-01,5.724e-01,2.948e+00,3.633e+00,3.633e+00,4.848e+00,5.194e+00,5.194e+00,6.013e+00,9.422e+00,9.422e+00,1.082e+01,1.233e+01,1.233e+01,1.384e+01,1.694e+01,2.147e+01,2.147e+01,2.149e+01,2.429e+01
8,,-9.072e+00,-3.206e+00,-3.179e+00,-3.179e+00,-2.475e+00,-2.475e+00,2.663e+00,3.043e+00,3.043e+00,4.288e+00,4.288e+00,4.326e+00,5.113e+00,9.457e+00,9.457e+00,1.029e+01,1.102e+01,1.102e+01,1.269e+01,1.647e+01,2.233e+01,2.246e+01,2.246e+01,2.422e+01,-9.054e+00,-1.427e+00,-1.352e+00,-1.352e+00,6.176e-01,6.176e-01,3.476e+00,3.717e+00,3.717e+00,4.816e+00,5.011e+00,5.011e+00,5.413e+00,9.952e+00,9.952e+00,1.082e+01,1.146e+01,1.146e+01,1.356e+01,1.662e+01,2.248e+01,2.261e+01,2.261e+01,2.450e+01
9,Gamma,-9.103e+00,-3.186e+00,-3.186e+00,-3.186e+00,-2.470e+00,-2.470e+00,3.169e+00,3.169e+00,3.169e+00,4.138e+00,4.138e+00,4.138e+00,4.798e+00,1.005e+01,1.005e+01,1.032e+01,1.032e+01,1.032e+01,1.254e+01,1.639e+01,2.296e+01,2.296e+01,2.296e+01,2.445e+01,-9.084e+00,-1.356e+00,-1.356e+00,-1.356e+00,6.356e-01,6.356e-01,3.749e+00,3.749e+00,3.749e+00,4.939e+00,4.939e+00,4.939e+00,4.980e+00,1.048e+01,1.048e+01,1.082e+01,1.082e+01,1.082e+01,1.345e+01,1.651e+01,2.306e+01,2.306e+01,2.306e+01,2.480e+01
10,,-9.062e+00,-3.211e+00,-3.177e+00,-3.177e+00,-2.489e+00,-2.464e+00,2.776e+00,2.776e+00,2.961e+00,4.048e+00,4.556e+00,4.556e+00,5.102e+00,8.967e+00,1.007e+01,1.044e+01,1.044e+01,1.137e+01,1.276e+01,1.651e+01,2.209e+01,2.209e+01,2.295e+01,2.378e+01,-9.044e+00,-1.423e+00,-1.364e+00,-1.364e+00,5.755e-01,6.478e-01,3.526e+00,3.526e+00,3.758e+00,4.655e+00,5.192e+00,5.192e+00,5.345e+00,9.498e+00,1.050e+01,1.095e+01,1.095e+01,1.182e+01,1.360e+01,1.666e+01,2.226e+01,2.226e+01,2.304e+01,2.414e+01
11,,-8.939e+00,-3.287e+00,-3.150e+00,-3.150e+00,-2.542e+00,-2.445e+00,2.140e+00,2.140e+00,2.468e+00,4.014e+00,5.267e+00,5.267e+00,5.495e+00,8.102e+00,1.015e+01,1.080e+01,1.080e+01,1.220e+01,1.343e+01,1.692e+01,2.069e+01,2.069e+01,2.244e+01,2.263e+01,-8.926e+00,-1.612e+00,-1.387e+00,-1.387e+00,4.185e-01,6.829e-01,3.095e+00,3.095e+00,3.696e+00,4.511e+00,5.668e+00,5.720e+00,5.720e+00,8.670e+00,1.054e+01,1.133e+01,1.133e+01,1.274e+01,1.400e+01,1.718e+01,2.088e+01,2.088e+01,2.279e+01,2.280e+01
12,,-8.738e+00,-3.405e+00,-3.103e+00,-3.103e+00,-2.613e+00,-2.417e+00,1.503e+00,1.503e+00,1.855e+00,4.033e+00,5.372e+00,6.037e+00,6.037e+00,8.077e+00,1.029e+01,1.138e+01,1.138e+01,1.283e+01,1.412e+01,1.775e+01,1.924e+01,1.924e+01,2.103e+01,2.193e+01,-8.734e+00,-1.891e+00,-1.417e+00,-1.417e+00,2.127e-01,7.374e-01,2.635e+00,2.635e+00,3.422e+00,4.540e+00,5.685e+00,6.356e+00,6.356e+00,8.523e+00,1.062e+01,1.193e+01,1.193e+01,1.344e+01,1.441e+01,1.815e+01,1.945e+01,1.945e+01,2.141e+01,2.218e+01
13,,-8.468e+00,-3.555e+00,-3.034e+00,-3.034e+00,-2.684e+00,-2.382e+00,9.043e-01,9.043e-01,1.164e+00,4.019e+00,4.887e+00,6.840e+00,6.840e+00,8.789e+00,1.047e+01,1.216e+01,1.216e+01,1.352e+01,1.450e+01,1.784e+01,1.784e+01,1.878e+01,1.974e+01,2.159e+01,-8.477e+00,-2.223e+00,-1.447e+00,-1.447e+00,-1.136e-03,8.052e-01,2.198e+00,2.198e+00,2.927e+00,4.599e+00,5.496e+00,7.068e+00,7.068e+00,9.069e+00,1.072e+01,1.272e+01,1.272e+01,1.411e+01,1.468e+01,1.806e+01,1.806e+01,1.923e+01,2.018e+01,2.185e+01
14,,-8.144e+00,-3.724e+00,-2.942e+00,-2.942e+00,-2.736e+00,-2.345e+00,3.599e-01,3.599e-01,4.151e-01,3.856e+00,4.576e+00,7.677e+00,7.677e+00,9.784e+00,1.070e+01,1.313e+01,1.313e+01,1.429e+01,1.469e+01,1.650e+01,1.650e+01,1.859e+01,1.917e+01,2.227e+01,-8.169e+00,-2.579e+00,-1.469e+00,-1.469e+00,-1.976e-01,8.786e-01,1.806e+00,1.806e+00,2.293e+00,4.590e+00,5.414e+00,7.851e+00,7.851e+00,9.968e+00,1.084e+01,1.367e+01,1.367e+01,1.458e+01,1.507e+01,1.674e+01,1.674e+01,1.910e+01,1.959e+01,2.251e+01
15,,-7.789e+00,-3.899e+00,-2.829e+00,-2.829e+00,-2.749e+00,-2.309e+00,-3.434e-01,-1.156e-01,-1.156e-01,3.587e+00,4.506e+00,8.553e+00,8.553e+00,1.088e+01,1.096e+01,1.417e+01,1.417e+01,1.461e+01,1.531e+01,1.532e+01,1.532e+01,1.760e+01,1.890e+01,2.321e+01,-7.835e+00,-2.931e+00,-1.481e+00,-1.481e+00,-3.631e-01,9.488e-01,1.476e+00,1.476e+00,1.659e+00,4.543e+00,5.444e+00,8.700e+00,8.700e+00,1.098e+01,1.102e+01,1.457e+01,1.457e+01,1.464e+01,1.569e+01,1.569e+01,1.583e+01,1.819e+01,1.933e+01,2.323e+01
16,,-7.447e+00,-4.064e+00,-2.708e+00,-2.708e+00,-2.707e+00,-2.280e+00,-1.037e+00,-5.021e-01,-5.021e-01,3.371e+00,4.508e+00,9.471e+00,9.471e+00,1.121e+01,1.195e+01,1.382e+01,1.382e+01,1.458e+01,1.575e+01,1.575e+01,1.622e+01,1.682e+01,1.848e+01,2.216e+01,-7.514e+00,-3.251e+00,-1.484e+00,-1.484e+00,-4.898e-01,1.007e+00,1.142e+00,1.224e+00,1.224e+00,4.502e+00,5.498e+00,9.607e+00,9.607e+00,1.111e+01,1.209e+01,1.399e+01,1.399e+01,1.460e+01,1.632e+01,1.632e+01,1.656e+01,1.751e+01,1.902e+01,2.259e+01
17,,-7.184e+00,-4.191e+00,-2.605e+00,-2.604e+00,-2.604e+00,-2.261e+00,-1.579e+00,-7.667e-01,-7.667e-01,3.244e+00,4.520e+00,1.041e+01,1.041e+01,1.141e+01,1.274e+01,1.274e+01,1.286e+01,1.448e+01,1.630e+01,1.697e+01,1.714e+01,1.714e+01,1.814e+01,2.041e+01,-7.271e+00,-3.488e+00,-1.482e+00,-1.482e+00,-5.711e-01,8.120e-01,1.045e+00,1.066e+00,1.066e+00,4.479e+00,5.539e+00,1.055e+01,1.055e+01,1.121e+01,1.292e+01,1.292e+01,1.301e+01,1.451e+01,1.696e+01,1.707e+01,1.767e+01,1.767e+01,1.894e+01,2.089e+01
18,X,-7.083e+00,-4.242e+00,-2.562e+00,-2.562e+00,-2.522e+00,-2.255e+00,-1.818e+00,-8.636e-01,-8.636e-01,3.203e+00,4.524e+00,1.110e+01,1.110e+01,1.149e+01,1.200e+01,1.200e+01,1.326e+01,1.441e+01,1.612e+01,1.723e+01,1.806e+01,1.851e+01,1.851e+01,1.893e+01,-7.177e+00,-3.578e+00,-1.481e+00,-1.481e+00,-5.996e-01,6.994e-01,1.011e+00,1.011e+00,1.059e+00,4.471e+00,5.553e+00,1.121e+01,1.121e+01,1.125e+01,1.220e+01,1.220e+01,1.344e+01,1.443e+01,1.692e+01,1.700e+01,1.894e+01,1.894e+01,1.903e+01,1.951e+01

